district,code,endorsedtrump,party,demp,repp,demc,repc,year,white,black,latino,asianandpacificislander,native,highschoolorgreater,bachelorsdegreeorhigher,medianincome
Georgia's 7th,GA-07,Endorsed Trump,Republican,39.6,60.400002,114220,174081,2016,57.400002,20.9,9.3000002,10.7,0.2,88.699997,40.200001,70486
Georgia's 7th,GA-07,Endorsed Trump,Republican,34.6,65.400002,60112,113557,2014,57.400002,20.9,9.3000002,10.7,0.2,88.699997,40.200001,70486
Georgia's 7th,GA-07,Endorsed Trump,Republican,49.9,50.099998,140011,140430,2018,57.400002,20.9,9.3000002,10.7,0.2,88.699997,40.200001,70486
Georgia's 8th,GA-08,Endorsed Trump,Republican,32.4,67.599998,83225,173983,2016,64.599998,30.200001,3,0.89999998,0.2,83.800003,20.6,43142
Georgia's 8th,GA-08,Endorsed Trump,Republican,0,100,0,198152,2018,64.599998,30.200001,3,0.89999998,0.2,83.800003,20.6,43142
Georgia's 8th,GA-08,Endorsed Trump,Republican,0,100,0,129938,2014,64.599998,30.200001,3,0.89999998,0.2,83.800003,20.6,43142
Georgia's 9th,GA-09,Endorsed Trump,Republican,19.3,80.699997,34988,146059,2014,86.400002,6.9000001,4.5,1,0.2,81.699997,22,50214
Georgia's 9th,GA-09,Endorsed Trump,Republican,0,100,0,256535,2016,86.400002,6.9000001,4.5,1,0.2,81.699997,22,50214
Georgia's 9th,GA-09,Endorsed Trump,Republican,20.5,79.5,57912,224661,2018,86.400002,6.9000001,4.5,1,0.2,81.699997,22,50214
Georgia's 10th,GA-10,Endorsed Trump,Republican,0,100,0,243725,2016,69.400002,24.799999,3,1.6,0.1,85.699997,25.1,51042
Georgia's 10th,GA-10,Endorsed Trump,Republican,33.5,66.5,65777,130703,2014,69.400002,24.799999,3,1.6,0.1,85.699997,25.1,51042
Georgia's 10th,GA-10,Endorsed Trump,Republican,37.1,62.900002,112339,190396,2018,69.400002,24.799999,3,1.6,0.1,85.699997,25.1,51042
Georgia's 11th,GA-11,Endorsed Trump,Republican,32.6,67.400002,105383,217935,2016,74.800003,16.1,5.3000002,2.4000001,0.1,90.199997,40.299999,69534
Georgia's 11th,GA-11,Endorsed Trump,Republican,38.2,61.799999,118653,191887,2018,74.800003,16.1,5.3000002,2.4000001,0.1,90.199997,40.299999,69534
Georgia's 11th,GA-11,Endorsed Trump,Republican,0,100,0,161532,2014,74.800003,16.1,5.3000002,2.4000001,0.1,90.199997,40.299999,69534
Georgia's 12th,GA-12,Endorsed Trump,Republican,45.2,54.799999,75478,91336,2014,59.5,34.5,3.4000001,1.3,0.2,83.5,20.799999,42825
Georgia's 12th,GA-12,Endorsed Trump,Republican,40.5,59.5,101503,148986,2018,59.5,34.5,3.4000001,1.3,0.2,83.5,20.799999,42825
Georgia's 12th,GA-12,Endorsed Trump,Republican,38.4,61.599998,99420,159492,2016,59.5,34.5,3.4000001,1.3,0.2,83.5,20.799999,42825
Georgia's 13th,GA-13,Democrat,Democratic,100,0,252833,0,2016,32,59.099998,5.1999998,2.3,0.1,88.300003,28.200001,55060
Georgia's 13th,GA-13,Democrat,Democratic,100,0,159445,0,2014,32,59.099998,5.1999998,2.3,0.1,88.300003,28.200001,55060
Georgia's 13th,GA-13,Democrat,Democratic,76.2,23.799999,223157,69760,2018,32,59.099998,5.1999998,2.3,0.1,88.300003,28.200001,55060
Georgia's 14th,GA-14,Endorsed Trump,Republican,23.5,76.5,53981,175743,2018,84.599998,8.8000002,4.6999998,0.80000001,0.2,79.900002,17.4,48731
Georgia's 14th,GA-14,Endorsed Trump,Republican,0,100,0,216743,2016,84.599998,8.8000002,4.6999998,0.80000001,0.2,79.900002,17.4,48731
Georgia's 14th,GA-14,Endorsed Trump,Republican,0,100,0,118782,2014,84.599998,8.8000002,4.6999998,0.80000001,0.2,79.900002,17.4,48731
Hawaii's 1st,HI-01,Democrat,Democratic,51.9,48.099998,93390,86454,2014,18.799999,2.2,7.4000001,56.299999,0.1,90.800003,35.099998,78813
Hawaii's 1st,HI-01,Democrat,Democratic,73.1,23.1,134650,42498,2018,18.799999,2.2,7.4000001,56.299999,0.1,90.800003,35.099998,78813
Hawaii's 1st,HI-01,Democrat,Democratic,71.9,22.700001,145417,45958,2016,18.799999,2.2,7.4000001,56.299999,0.1,90.800003,35.099998,78813
Hawaii's 2nd,HI-02,Democrat,Democratic,78.7,18.6,142010,33630,2014,33.5,1.6,9.3000002,35.900002,0.2,92.5,28.799999,71289
Hawaii's 2nd,HI-02,Democrat,Democratic,81.2,18.799999,170848,39668,2016,33.5,1.6,9.3000002,35.900002,0.2,92.5,28.799999,71289
Hawaii's 2nd,HI-02,Democrat,Democratic,77.4,22.6,153271,44850,2018,33.5,1.6,9.3000002,35.900002,0.2,92.5,28.799999,71289
Iowa's 1st,IA-01,Democrat,Democratic,51,45.900002,170342,153442,2018,93,3,2,0.89999998,0.30000001,92.300003,26,57084
Iowa's 1st,IA-01,Republican,Republican,48.8,51.099998,141145,147762,2014,93,3,2,0.89999998,0.30000001,92.300003,26,57084
Iowa's 1st,IA-01,Republican,Republican,46.1,53.700001,177403,206903,2016,93,3,2,0.89999998,0.30000001,92.300003,26,57084
Iowa's 2nd,IA-02,Democrat,Democratic,54.8,42.599998,171446,133287,2018,90.699997,3.3,3.5,1.1,0.2,91.900002,28.1,53724
Iowa's 2nd,IA-02,Democrat,Democratic,53.7,46.200001,198571,170933,2016,90.699997,3.3,3.5,1.1,0.2,91.900002,28.1,53724
Iowa's 2nd,IA-02,Democrat,Democratic,52.5,47.400002,143431,129455,2014,90.699997,3.3,3.5,1.1,0.2,91.900002,28.1,53724
